     Orientation no.            sigma (A)       epsilon (cm-1)
                 625                 3.21               68.610
                 626                 4.10               51.114
                 627                 3.74               69.029
                 628                 4.01               54.649
                 629                 3.12               71.736
                 630                 3.47               75.578
                 631                 5.79               29.392
                 632                 3.56               73.616
                 633                 3.21               84.567
                 634                 3.74               66.365
                 635                 3.65               70.831
                 636                 4.19               37.080
                 637                 3.39               73.480
                 638                 3.39               72.573
                 639                 4.19               39.604
                 640                 3.65               70.824
                 641                 3.74               63.378
                 642                 3.21               84.788
                 643                 3.56               74.896
                 644                 5.88               29.563
                 645                 3.47               76.265
                 646                 3.12               75.594
                 647                 4.01               56.225
                 648                 3.65               70.415
                 649                 4.19               48.293
                 650                 3.30               69.411
                 651                 3.47               76.427
                 652                 5.79               28.841
                 653                 3.65               73.319
                 654                 3.47               76.388
                 655                 3.47               73.685
                 656                 3.65               73.186
                 657                 5.79               28.609
                 658                 3.39               76.448
                 659                 3.30               70.314
                 660                 4.19               46.502
                 661                 3.65               71.508
                 662                 4.01               56.800
                 663                 3.12               79.106
                 664                 3.47               77.205
                 665                 5.88               29.738
                 666                 3.56               76.495
                 667                 3.12               84.498
                 668                 3.83               61.303
                 669                 3.65               72.478
                 670                 4.19               40.886
                 671                 3.30               72.715
                 672                 3.39               75.745
                 673                 4.28               32.987
                 674                 3.65               73.494
                 675                 3.65               67.573
                 676                 3.30               82.107
                 677                 3.56               76.142
                 678                 5.88               29.436
                 679                 3.47               78.332
                 680                 3.12               71.486
                 681                 4.10               51.961
                 682                 3.65               72.683
                 683                 4.10               51.474
                 684                 3.12               71.145
                 685                 3.47               78.524
                 686                 5.88               29.424
                 687                 3.56               76.647
                 688                 3.30               81.313
                 689                 3.65               67.804
                 690                 3.56               74.594
                 691                 4.28               31.648
                 692                 3.39               76.719
                 693                 3.30               73.307
                 694                 4.19               40.564
                 695                 3.65               73.935
                 696                 3.83               59.568
                 697                 3.12               84.170
                 698                 3.47               78.738
                 699                 5.88               29.910
                 700                 3.47               79.405
                 701                 3.12               80.188
                 702                 3.92               56.118
                 703                 3.65               74.130
                 704                 4.19               44.698
                 705                 3.21               71.662
                 706                 3.39               78.719
                 707                 5.88               28.715
                 708                 3.56               76.717
                 709                 3.56               71.307
                 710                 3.39               75.392
