     Orientation no.            sigma (A)       epsilon (cm-1)
                 357                 3.92              160.627
                 358                 3.56              186.048
                 359                 4.01              180.455
                 360                 4.10              148.138
                 361                 4.01              172.487
                 362                 3.65              174.325
                 363                 3.92              162.496
                 364                 4.01              165.870
                 365                 4.01              153.956
                 366                 3.47              236.823
                 367                 3.65              226.195
                 368                 4.10              152.058
                 369                 4.10              159.503
                 370                 3.83              165.017
                 371                 3.65              168.529
                 372                 4.10              163.041
                 373                 4.10              149.867
                 374                 3.92              192.031
                 375                 3.47              214.018
                 376                 3.92              159.725
                 377                 4.01              178.249
                 378                 3.92              159.509
                 379                 3.47              217.834
                 380                 3.92              192.630
                 381                 4.10              150.610
                 382                 4.10              160.411
                 383                 3.65              169.652
                 384                 3.83              166.440
                 385                 4.10              155.649
                 386                 4.10              152.999
                 387                 3.65              222.674
                 388                 3.47              239.101
                 389                 4.01              156.785
                 390                 4.10              162.191
                 391                 3.83              165.182
                 392                 3.56              181.526
                 393                 4.10              168.413
                 394                 4.10              150.899
                 395                 4.01              174.326
                 396                 3.47              192.126
                 397                 3.92              164.608
                 398                 4.10              165.412
                 399                 4.01              158.994
                 400                 3.47              240.899
                 401                 3.74              210.207
                 402                 4.01              153.369
                 403                 4.19              152.253
                 404                 3.74              169.736
                 405                 3.74              170.500
                 406                 4.19              153.629
                 407                 4.10              153.010
                 408                 3.83              199.127
                 409                 3.39              237.480
                 410                 3.92              161.503
                 411                 4.10              167.687
                 412                 3.92              165.139
                 413                 3.39              208.601
                 414                 4.01              178.810
                 415                 4.10              152.625
                 416                 4.10              159.218
                 417                 3.56              179.093
                 418                 3.83              169.210
                 419                 4.19              151.193
                 420                 4.01              158.396
                 421                 3.56              232.058
                 422                 3.56              228.295
                 423                 4.01              158.367
                 424                 4.19              150.344
                 425                 3.83              169.880
                 426                 3.56              179.144
                 427                 4.19              157.729
                 428                 4.01              153.689
                 429                 4.01              178.716
                 430                 3.39              217.427
                 431                 3.92              166.582
                 432                 4.10              165.817
                 433                 3.92              164.706
                 434                 3.39              240.504
                 435                 3.92              192.253
                 436                 4.01              156.011
                 437                 4.19              150.128
                 438                 3.65              175.429
                 439                 3.74              173.332
                 440                 4.19              146.586
                 441                 4.01              158.088
                 442                 3.74              207.138
                 443                 3.47              244.508
                 444                 3.92              163.412
                 445                 4.10              155.453
                 446                 3.83              170.867
                 447                 3.47              199.479
                 448                 4.10              166.095
                 449                 4.01              155.866
                 450                 4.10              161.583
                 451                 3.47              194.759
                 452                 3.83              171.909
                 453                 4.19              151.052
                 454                 3.92              163.730
                 455                 3.47              241.773
                 456                 3.74              212.181
                 457                 4.01              160.177
                 458                 4.19              142.831
                 459                 3.74              175.210
                 460                 3.56              178.932
                 461                 4.28              147.955
                 462                 4.01              158.500
                 463                 3.92              183.670
                 464                 3.39              240.983
                 465                 3.83              168.568
                 466                 4.10              161.041
                 467                 3.83              170.463
                 468                 3.39              233.080
                 469                 4.01              177.947
                 470                 4.01              158.916
                 471                 4.28              149.580
                 472                 3.56              183.593
                 473                 3.74              176.511
                 474                 4.28              141.062
                 475                 3.92              162.885
                 476                 3.65              218.266
                 477                 3.56              234.477
                 478                 3.92              165.539
                 479                 4.19              144.203
                 480                 3.74              176.483
                 481                 3.47              193.207
                 482                 4.19              155.598
                 483                 4.01              159.820
                 484                 4.10              166.879
