     Orientation no.            sigma (A)       epsilon (cm-1)
                 478                 3.83               29.763
                 479                 4.10               29.525
                 480                 3.65               28.725
                 481                 3.39               31.155
                 482                 4.10               22.583
                 483                 3.83               30.032
                 484                 4.01               23.135
                 485                 3.30               34.841
                 486                 3.65               29.128
                 487                 4.01               33.427
                 488                 3.74               29.723
                 489                 3.30               38.055
                 490                 3.74               26.418
                 491                 3.83               30.238
                 492                 4.19               23.859
                 493                 3.47               28.920
                 494                 3.47               28.953
                 495                 4.19               23.766
                 496                 3.83               30.344
                 497                 3.83               26.175
                 498                 3.30               38.070
                 499                 3.74               29.938
                 500                 4.01               33.252
                 501                 3.65               29.426
                 502                 3.21               35.535
                 503                 4.01               22.661
                 504                 3.83               30.559
                 505                 4.19               22.038
                 506                 3.30               31.768
                 507                 3.56               29.092
                 508                 4.10               29.033
                 509                 3.74               30.271
                 510                 3.47               33.409
                 511                 3.56               30.198
                 512                 3.83               30.447
                 513                 4.19               26.259
                 514                 3.56               29.112
                 515                 3.39               30.447
                 516                 4.19               22.173
                 517                 3.83               30.839
                 518                 4.01               23.339
                 519                 3.21               38.148
                 520                 3.65               29.949
                 521                 4.01               34.287
                 522                 3.65               30.037
                 523                 3.21               38.878
                 524                 3.92               24.076
                 525                 3.83               30.974
                 526                 4.19               22.375
                 527                 3.39               30.036
                 528                 3.47               29.288
                 529                 4.19               24.856
                 530                 3.83               30.831
                 531                 3.65               27.742
                 532                 3.39               35.265
                 533                 3.74               30.758
                 534                 4.10               30.530
                 535                 3.56               29.718
                 536                 3.21               33.831
                 537                 4.19               21.660
                 538                 3.83               31.301
                 539                 4.10               21.813
                 540                 3.21               34.902
                 541                 3.56               29.881
                 542                 4.10               31.359
                 543                 3.74               30.862
                 544                 3.30               36.121
                 545                 3.74               26.676
                 546                 3.74               31.258
                 547                 4.19               23.996
                 548                 3.47               29.665
                 549                 3.39               30.176
                 550                 4.19               22.206
                 551                 3.83               31.397
                 552                 3.92               24.072
                 553                 3.21               39.046
                 554                 3.65               30.855
                 555                 4.10               33.718
                 556                 3.65               30.524
                 557                 3.21               38.202
                 558                 4.01               22.271
                 559                 3.83               31.649
                 560                 4.19               21.424
                 561                 3.30               31.907
                 562                 3.47               29.892
                 563                 4.19               26.687
                 564                 3.74               31.600
                 565                 3.56               30.167
                 566                 3.56               30.884
                 567                 3.74               31.610
                 568                 4.19               27.333
                 569                 3.47               30.042
                 570                 3.30               32.476
                 571                 4.19               21.247
                 572                 3.74               32.005
                 573                 4.10               21.993
                 574                 3.12               38.035
                 575                 3.56               30.806
                 576                 4.10               33.312
                 577                 3.65               31.423
                 578                 3.21               38.704
                 579                 3.92               24.029
                 580                 3.74               32.208
                 581                 4.28               22.201
                 582                 3.39               30.572
                 583                 3.39               30.320
                 584                 4.28               23.038
                 585                 3.74               32.278
                 586                 3.83               25.274
                 587                 3.30               36.726
                 588                 3.65               31.830
                 589                 4.10               31.674
                 590                 3.56               30.946
                 591                 3.12               36.724
                 592                 4.19               21.273
                 593                 3.74               32.626
                 594                 4.19               21.096
                 595                 3.21               34.716
                 596                 3.47               30.717
                 597                 4.19               29.062
                 598                 3.65               32.222
                 599                 3.39               33.162
                 600                 3.65               27.227
                 601                 3.74               32.471
                 602                 4.19               24.525
                 603                 3.39               30.498
                 604                 3.30               31.784
                 605                 4.28               21.353
                 606                 3.74               32.916
                 607                 4.01               22.545
                 608                 3.12               39.740
                 609                 3.56               31.842
                 610                 4.10               33.985
                 611                 3.56               31.874
                 612                 3.12               39.856
                 613                 4.01               22.350
                 614                 3.74               33.114
                 615                 4.28               21.242
                 616                 3.30               32.093
                 617                 3.39               30.824
                 618                 4.19               24.598
                 619                 3.65               32.967
                 620                 3.65               27.303
                 621                 3.47               32.389
                 622                 3.65               32.854
                 623                 4.19               28.780
                 624                 3.47               31.333
                 625                 3.21               35.035
                 626                 4.19               20.730
                 627                 3.74               33.491
                 628                 4.19               21.083
                 629                 3.12               38.080
                 630                 3.47               31.722
                 631                 4.10               31.555
                 632                 3.56               32.698
                 633                 3.30               36.751
                 634                 3.83               24.513
                 635                 3.65               33.526
                 636                 4.28               22.731
                 637                 3.30               31.247
                 638                 3.30               31.608
                 639                 4.28               22.055
                 640                 3.65               33.707
                 641                 3.92               23.532
                 642                 3.21               38.450
                 643                 3.56               32.967
                 644                 4.10               32.724
                 645                 3.47               32.221
                 646                 3.12               39.498
                 647                 4.10               21.197
                 648                 3.65               34.001
                 649                 4.28               20.716
                 650                 3.21               34.483
                 651                 3.39               31.624
                 652                 4.19               27.235
                 653                 3.65               33.696
                 654                 3.56               30.015
                 655                 3.56               28.366
                 656                 3.65               33.900
                 657                 4.19               25.728
                 658                 3.39               31.754
                 659                 3.21               33.831
                 660                 4.28               20.824
                 661                 3.65               34.454
                 662                 4.10               21.530
                 663                 3.12               40.411
                 664                 3.47               32.866
                 665                 4.10               33.387
                 666                 3.56               33.364
                 667                 3.12               39.503
                 668                 4.01               22.535
                 669                 3.65               34.655
                 670                 4.28               21.459
                 671                 3.21               32.508
                 672                 3.30               31.897
                 673                 4.28               23.476
                 674                 3.65               34.590
                 675                 3.74               25.083
                 676                 3.39               34.359
                 677                 3.56               34.152
                 678                 4.19               30.476
                 679                 3.47               32.615
                 680                 3.12               37.922
                 681                 4.19               20.657
                 682                 3.65               35.156
                 683                 4.19               20.583
                 684                 3.12               37.695
                 685                 3.39               32.654
                 686                 4.19               30.156
                 687                 3.56               34.460
                 688                 3.39               33.903
                 689                 3.74               25.362
                 690                 3.65               34.934
                 691                 4.28               23.739
                 692                 3.30               32.331
                 693                 3.21               33.187
                 694                 4.28               21.308
                 695                 3.65               35.391
                 696                 4.01               22.313
                 697                 3.12               40.127
                 698                 3.47               34.113
                 699                 4.10               33.331
                 700                 3.47               33.875
                 701                 3.12               40.872
                 702                 4.10               21.449
                 703                 3.65               35.694
                 704                 4.28               20.792
                 705                 3.12               34.481
                 706                 3.30               32.565
                 707                 4.28               25.622
                 708                 3.56               35.445
                 709                 3.65               27.567
                 710                 3.47               30.234
                 711                 3.56               35.364
                 712                 4.19               27.587
                 713                 3.39               33.034
                 714                 3.12               36.261
                 715                 4.28               20.586
                 716                 3.65               36.078
                 717                 4.19               20.859
                 718                 3.03               40.499
                 719                 3.39               33.850
                 720                 4.19               32.521
                 721                 3.47               35.010
                 722                 3.21               38.053
                 723                 3.92               23.236
                 724                 3.56               36.205
                 725                 4.28               22.154
                 726                 3.21               33.246
                 727                 3.21               33.097
                 728                 4.28               22.534
                 729                 3.56               36.355
                 730                 3.83               23.568
                 731                 3.21               36.922
                 732                 3.47               35.420
                 733                 4.19               32.122
                 734                 3.39               34.211
                 735                 3.03               40.399
                 736                 4.19               20.803
                 737                 3.56               36.779
                 738                 4.28               20.549
                 739                 3.12               37.166
                 740                 3.39               33.639
                 741                 4.19               28.498
                 742                 3.56               36.019
                 743                 3.47               31.129
                 744                 3.65               26.780
                 745                 3.56               36.562
                 746                 4.28               25.294
                 747                 3.30               33.479
                 748                 3.12               35.027
                 749                 4.28               20.978
                 750                 3.56               37.201
                 751                 4.10               21.484
                 752                 3.03               41.247
                 753                 3.39               35.150
                 754                 4.19               33.680
                 755                 3.47               35.415
                 756                 3.12               41.008
                 757                 4.01               21.926
                 758                 3.56               37.429
                 759                 4.28               21.249
                 760                 3.12               34.710
                 761                 3.30               33.593
                 762                 4.28               24.617
                 763                 3.56               37.121
                 764                 3.74               25.694
                 765                 3.39               32.738
                 766                 3.47               36.742
                 767                 4.19               29.781
                 768                 3.30               34.368
                 769                 3.03               38.737
                 770                 4.28               20.518
                 771                 3.56               37.947
                 772                 4.19               20.731
                 773                 3.03               40.305
                 774                 3.39               34.889
                 775                 4.19               31.551
                 776                 3.47               36.773
                 777                 3.30               35.557
                 778                 3.83               24.281
                 779                 3.56               37.694
                 780                 4.28               23.495
                 781                 3.21               34.087
                 782                 3.12               34.358
                 783                 4.28               22.027
                 784                 3.56               38.056
                 785                 3.92               22.676
                 786                 3.12               39.514
                 787                 3.39               36.490
                 788                 4.19               33.395
                 789                 3.39               35.827
                 790                 3.03               41.995
                 791                 4.10               21.171
                 792                 3.56               38.493
                 793                 4.28               20.912
                 794                 3.03               36.785
                 795                 3.30               34.567
                 796                 4.28               27.219
                 797                 3.47               37.933
                 798                 3.56               28.828
                 799                 3.56               28.783
                 800                 3.47               38.023
                 801                 4.28               27.229
                 802                 3.30               34.660
                 803                 3.03               36.928
                 804                 4.28               20.994
                 805                 3.56               38.810
                 806                 4.10               21.246
                 807                 3.03               42.181
                 808                 3.39               36.216
                 809                 4.19               33.531
                 810                 3.39               37.155
                 811                 3.12               39.815
                 812                 3.92               22.751
                 813                 3.47               38.877
                 814                 4.28               22.313
                 815                 3.12               35.041
                 816                 3.21               34.635
                 817                 4.28               23.947
                 818                 3.47               38.910
                 819                 3.83               24.359
                 820                 3.30               35.640
                 821                 3.39               37.797
                 822                 4.19               31.861
                 823                 3.30               35.935
                 824                 3.03               40.855
                 825                 4.19               20.976
                 826                 3.47               39.408
                 827                 4.19               20.812
                 828                 3.03               39.617
                 829                 3.30               35.719
                 830                 4.19               30.409
                 831                 3.47               38.270
                 832                 3.39               33.040
                 833                 3.65               25.755
                 834                 3.47               39.197
                 835                 4.28               25.398
                 836                 3.21               34.986
                 837                 3.12               35.887
                 838                 4.28               21.966
                 839                 3.47               39.725
                 840                 4.01               22.200
                 841                 3.03               41.552
                 842                 3.39               37.532
                 843                 4.19               34.118
                 844                 3.39               37.271
                 845                 3.03               42.405
                 846                 4.01               21.819
                 847                 3.47               39.978
                 848                 4.28               21.742
                 849                 3.03               36.469
                 850                 3.21               35.287
                 851                 4.28               26.506
                 852                 3.47               39.446
                 853                 3.65               27.108
                 854                 3.39               31.464
                 855                 3.39               38.987
                 856                 4.19               29.609
                 857                 3.30               35.812
                 858                 3.03               39.025
                 859                 4.28               21.087
                 860                 3.47               40.376
                 861                 4.19               21.176
                 862                 3.03               41.823
                 863                 3.30               36.917
                 864                 4.19               33.013
                 865                 3.39               38.683
                 866                 3.21               37.893
                 867                 3.83               24.063
                 868                 3.47               40.197
                 869                 4.28               24.002
                 870                 3.12               35.434
                 871                 3.12               35.554
                 872                 4.28               23.708
                 873                 3.47               40.341
                 874                 3.83               23.693
                 875                 3.12               38.666
                 876                 3.39               38.746
                 877                 4.19               33.450
                 878                 3.30               37.283
                 879                 3.03               42.226
                 880                 4.10               21.575
                 881                 3.47               40.814
                 882                 4.19               21.415
                 883                 3.03               38.753
                 884                 3.21               36.105
                 885                 4.19               29.477
                 886                 3.39               39.730
                 887                 3.47               30.930
                 888                 3.56               28.246
                 889                 3.39               39.970
                 890                 4.28               27.560
                 891                 3.21               35.851
                 892                 3.03               37.366
                 893                 4.28               22.126
                 894                 3.47               40.969
                 895                 4.01               22.095
                 896                 3.03               42.909
                 897                 3.30               38.021
                 898                 4.19               34.311
                 899                 3.39               38.461
                 900                 3.03               41.611
                 901                 3.92               22.953
                 902                 3.47               40.955
                 903                 4.28               23.131
                 904                 3.12               36.179
                 905                 3.12               35.570
                 906                 4.28               26.103
                 907                 3.47               40.494
                 908                 3.65               25.965
                 909                 3.30               34.988
                 910                 3.39               39.757
                 911                 4.19               31.965
                 912                 3.30               36.836
                 913                 2.94               40.637
                 914                 4.19               21.841
                 915                 3.47               41.335
                 916                 4.19               21.801
                 917                 2.94               41.053
                 918                 3.30               37.027
                 919                 4.19               32.407
                 920                 3.39               39.769
                 921                 3.30               35.739
                 922                 3.74               25.847
                 923                 3.47               40.697
                 924                 4.28               26.097
                 925                 3.12               35.767
                 926                 3.12               36.167
                 927                 4.28               23.757
                 928                 3.47               41.173
                 929                 3.92               23.512
                 930                 3.03               41.436
                 931                 3.30               38.877
                 932                 4.19               34.385
                 933                 3.30               38.278
                 934                 3.03               43.023
                 935                 4.01               22.569
                 936                 3.47               41.417
                 937                 4.19               22.734
                 938                 3.03               37.845
                 939                 3.21               36.250
                 940                 4.19               29.021
                 941                 3.39               40.584
                 942                 3.47               29.455
                 943                 3.47               31.151
                 944                 3.39               40.458
                 945                 4.19               30.234
                 946                 3.21               36.536
                 947                 3.03               38.622
                 948                 4.19               22.781
                 949                 3.47               41.513
                 950                 4.10               22.454
                 951                 2.94               42.933
                 952                 3.30               38.035
                 953                 4.19               34.145
                 954                 3.39               39.278
                 955                 3.12               40.585
                 956                 3.83               24.605
                 957                 3.47               41.171
                 958                 4.28               24.971
                 959                 3.12               36.045
                 960                 3.12               35.951
                 961                 4.19               26.003
                 962                 3.47               41.002
                 963                 3.74               25.669
                 964                 3.21               38.486
                 965                 3.39               39.686
                 966                 4.19               33.616
                 967                 3.30               37.588
                 968                 2.94               42.199
                 969                 4.10               22.823
                 970                 3.47               41.547
                 971                 4.19               22.878
                 972                 2.94               39.692
                 973                 3.21               36.880
                 974                 4.19               31.959
                 975                 3.39               40.269
                 976                 3.30               34.099
                 977                 3.56               28.576
                 978                 3.39               40.744
                 979                 4.19               28.762
                 980                 3.21               35.920
                 981                 3.03               37.001
                 982                 4.19               24.390
                 983                 3.47               41.349
                 984                 3.92               23.833
