     Orientation no.            sigma (A)       epsilon (cm-1)
                 455                 3.96              245.359
                 456                 4.14              228.106
                 457                 4.50               76.341
                 458                 4.68              229.494
                 459                 4.14               90.220
                 460                 3.96              116.224
                 461                 4.68              211.703
                 462                 4.59               76.279
                 463                 4.41              214.660
                 464                 3.79              241.086
                 465                 4.41               78.098
                 466                 4.59              283.839
                 467                 4.41               78.374
                 468                 3.79              231.701
                 469                 4.50              210.504
                 470                 4.59               76.666
                 471                 4.68              208.297
                 472                 3.87              131.383
                 473                 4.14               87.922
                 474                 4.68              235.694
                 475                 4.50               77.666
                 476                 4.14              232.441
                 477                 3.96              240.697
                 478                 4.50               77.892
                 479                 4.59              251.498
                 480                 4.23               83.964
                 481                 3.79              162.008
                 482                 4.68              204.449
                 483                 4.50               77.418
                 484                 4.59              206.034
                 485                 3.70              211.063
                 486                 4.32               80.950
                 487                 4.59              275.355
                 488                 4.41               79.206
                 489                 3.87              249.127
                 490                 4.32              218.738
                 491                 4.50               78.430
                 492                 4.68              215.928
                 493                 3.96              104.697
                 494                 3.96              105.372
                 495                 4.68              215.124
                 496                 4.50               78.756
                 497                 4.32              217.943
                 498                 3.87              249.452
                 499                 4.41               79.924
                 500                 4.59              274.735
                 501                 4.32               81.861
                 502                 3.70              216.975
                 503                 4.59              205.128
                 504                 4.50               79.003
                 505                 4.68              203.443
                 506                 3.79              167.068
                 507                 4.14               86.341
                 508                 4.68              248.418
                 509                 4.41               80.080
                 510                 4.05              239.341
                 511                 4.14              230.709
                 512                 4.41               79.831
                 513                 4.68              233.146
                 514                 4.05               91.552
                 515                 3.79              141.229
                 516                 4.68              203.924
                 517                 4.50               79.967
                 518                 4.50              207.527
                 519                 3.70              241.905
                 520                 4.32               82.464
                 521                 4.59              280.537
                 522                 4.32               82.171
                 523                 3.79              249.252
                 524                 4.41              209.180
                 525                 4.50               80.512
                 526                 4.77              205.104
                 527                 3.87              128.079
                 528                 4.05               98.378
                 529                 4.68              221.601
                 530                 4.41               81.071
                 531                 4.23              223.571
                 532                 3.96              245.263
                 533                 4.41               81.940
                 534                 4.68              257.616
                 535                 4.14               86.781
                 536                 3.70              196.028
                 537                 4.68              201.253
                 538                 4.50               81.268
                 539                 4.68              201.013
                 540                 3.70              207.773
                 541                 4.23               86.400
                 542                 4.68              262.432
                 543                 4.32               82.684
                 544                 3.87              248.210
                 545                 4.32              219.116
                 546                 4.41               82.296
                 547                 4.77              216.611
                 548                 3.96              104.943
                 549                 3.87              124.924
                 550                 4.77              206.134
                 551                 4.41               82.312
                 552                 4.41              210.214
                 553                 3.79              254.288
                 554                 4.32               84.391
                 555                 4.68              275.993
                 556                 4.23               85.847
                 557                 3.70              243.055
                 558                 4.59              203.612
                 559                 4.41               82.715
                 560                 4.77              200.016
                 561                 3.70              161.443
                 562                 4.05               95.139
                 563                 4.68              233.163
                 564                 4.41               83.889
                 565                 4.14              231.103
                 566                 4.05              233.841
                 567                 4.41               84.072
